HireDate,count_of_hires,multiple_hires,generate a comma separated text file for 110 employees with the following data: UniqueID,LastName,MiddleInitial,FIrstName,Gender,JobTitle,Department,Right_HireDate,TerminationDate,AnnualSalary,FileName,Input_File_Name,Output_File_Name
2020-06-20,1,False,69,Lopez,Z,Zachary,Male,Software Developer,IT,2020-06-20,,75000,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data30.csv,output_data30.csv,questions_data30
2022-02-18,1,False,74,Mills,E,Emily,Female,Product Manager,IT,2022-02-18,,90000,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data30.csv,output_data30.csv,questions_data30
2020-04-18,1,False,103,Adams,H,Hayden,Male,Software Engineer,IT,2020-04-18,,80000,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data30.csv,output_data30.csv,questions_data30
2020-08-28,1,False,28,Scott,K,Kyle,Male,Operations Analyst,Operations,2020-08-28,,70000,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data30.csv,output_data30.csv,questions_data30
2018-08-17,1,False,53,Allen,J,Jack,Male,HR Manager,HR,2018-08-17,,90000,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data30.csv,output_data30.csv,questions_data30
2021-10-25,1,False,106,Moore,K,Kylie,Female,Data Manager,IT,2021-10-25,,75000,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data30.csv,output_data30.csv,questions_data30
2019-04-20,1,False,42,Robinson,Y,Yara,Female,HR Assistant,HR,2019-04-20,,40000,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data30.csv,output_data30.csv,questions_data30
2022-12-05,1,False,56,Hernandez,M,Mila,Female,IT Support Specialist,IT,2022-12-05,,50000,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data30.csv,output_data30.csv,questions_data30
2020-03-30,1,False,13,Gonzalez,V,Vincent,Male,Data Scientist,Finance,2020-03-30,,95000,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data30.csv,output_data30.csv,questions_data30
2022-02-14,1,False,7,Miller,P,Paul,Male,Sales Representative,Sales,2022-02-14,,60000,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data30.csv,output_data30.csv,questions_data30
2018-06-21,1,False,47,Garcia,D,Diana,Female,Marketing Specialist,Marketing,2018-06-21,,65000,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data30.csv,output_data30.csv,questions_data30
2020-04-05,1,False,87,Walker,R,Ruby,Female,HR Business Partner,HR,2020-04-05,,90000,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data30.csv,output_data30.csv,questions_data30
2019-03-22,1,False,2,Johnson,K,Karen,Female,Project Manager,IT,2019-03-22,,90000,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data30.csv,output_data30.csv,questions_data30
2021-05-22,1,False,89,Lopez,T,Tobias,Male,IT Specialist,IT,2021-05-22,,70000,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data30.csv,output_data30.csv,questions_data30
2023-06-18,1,False,93,Morris,X,Xena,Female,Senior Project Manager,IT,2023-06-18,,95000,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data30.csv,output_data30.csv,questions_data30
2019-03-23,1,False,35,Roberts,R,Riley,Female,Data Scientist,Finance,2019-03-23,,90000,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data30.csv,output_data30.csv,questions_data30
2021-03-15,1,False,26,King,I,Isaac,Male,Financial Analyst,Finance,2021-03-15,,80000,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data30.csv,output_data30.csv,questions_data30
2022-04-12,1,False,71,Patel,B,Bruce,Male,Network Engineer,IT,2022-04-12,,80000,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data30.csv,output_data30.csv,questions_data30
2019-04-12,1,False,66,Martin,W,William,Male,Project Coordinator,Operations,2019-04-12,,60000,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data30.csv,output_data30.csv,questions_data30
2020-03-05,1,False,73,Wu,D,Dylan,Male,UX Researcher,IT,2020-03-05,,70000,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data30.csv,output_data30.csv,questions_data30
2021-03-21,1,False,97,Clark,B,Bella,Female,Account Executive,Sales,2021-03-21,,80000,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data30.csv,output_data30.csv,questions_data30
2018-07-30,1,False,3,Williams,L,Liam,Male,Data Analyst,Finance,2018-07-30,,65000,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data30.csv,output_data30.csv,questions_data30
2022-10-04,1,False,100,Martin,E,Elena,Female,Customer Experience Manager,Sales,2022-10-04,,75000,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data30.csv,output_data30.csv,questions_data30
2020-07-18,1,False,32,Hall,O,Olive,Female,Research Analyst,Finance,2020-07-18,,70000,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data30.csv,output_data30.csv,questions_data30
2021-12-25,1,False,65,Garcia,V,Vera,Female,Administrative Assistant,Admin,2021-12-25,,35000,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data30.csv,output_data30.csv,questions_data30
2020-09-09,1,False,36,Carter,S,Samantha,Female,Graphic Designer,Marketing,2020-09-09,,65000,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data30.csv,output_data30.csv,questions_data30
2022-04-27,1,False,38,Evans,U,Uma,Female,Operations Manager,Operations,2022-04-27,,80000,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data30.csv,output_data30.csv,questions_data30
2022-09-18,1,False,67,Thompson,X,Ximena,Female,HR Generalist,HR,2022-09-18,,50000,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data30.csv,output_data30.csv,questions_data30
2023-02-15,1,False,37,Phillips,T,Tony,Male,Web Designer,IT,2023-02-15,,60000,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data30.csv,output_data30.csv,questions_data30
2017-11-01,1,False,6,Garcia,O,Olivia,Female,Marketing Manager,Marketing,2017-11-01,,80000,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data30.csv,output_data30.csv,questions_data30
2020-05-11,1,False,76,Stewart,G,Gabriella,Female,Customer Support Specialist,Sales,2020-05-11,,45000,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data30.csv,output_data30.csv,questions_data30
2023-01-08,1,False,23,Allen,F,Fiona,Female,Data Entry Clerk,Admin,2023-01-08,,35000,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data30.csv,output_data30.csv,questions_data30
HireDate,1,False,UniqueID,LastName,MiddleInitial,FirstName,Gender,JobTitle,Department,HireDate,TerminationDate,AnnualSalary,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data30.csv,output_data30.csv,questions_data30
2020-03-14,1,False,108,Walker,M,Maya,Female,Social Media Coordinator,Marketing,2020-03-14,,50000,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data30.csv,output_data30.csv,questions_data30
2023-03-02,1,False,15,Anderson,X,Xena,Female,Content Writer,Marketing,2023-03-02,,55000,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data30.csv,output_data30.csv,questions_data30
2021-09-12,1,False,9,Rodriguez,R,Rita,Female,Accountant,Finance,2021-09-12,,70000,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data30.csv,output_data30.csv,questions_data30
2018-06-12,1,False,22,Hall,E,Edward,Male,Customer Service Rep,Sales,2018-06-12,,45000,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data30.csv,output_data30.csv,questions_data30
2019-07-15,1,False,14,Wilson,W,Will,Male,Sales Manager,Sales,2019-07-15,,90000,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data30.csv,output_data30.csv,questions_data30
2019-11-28,1,False,90,Carter,U,Uma,Female,Marketing Strategist,Marketing,2019-11-28,,80000,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data30.csv,output_data30.csv,questions_data30
2019-11-03,1,False,25,Hernandez,H,Hannah,Female,IT Consultant,IT,2019-11-03,,90000,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data30.csv,output_data30.csv,questions_data30
2021-11-04,1,False,49,Lopez,F,Felix,Male,Operations Supervisor,Operations,2021-11-04,,80000,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data30.csv,output_data30.csv,questions_data30
2021-01-25,1,False,75,Collins,F,Frank,Male,Technical Support,IT,2021-01-25,,50000,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data30.csv,output_data30.csv,questions_data30
2021-12-20,1,False,82,Martin,M,Mia,Female,Recruiting Specialist,HR,2021-12-20,,50000,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data30.csv,output_data30.csv,questions_data30
2022-01-20,1,False,11,Hernandez,T,Thomas,Male,IT Support Specialist,IT,2022-01-20,,50000,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data30.csv,output_data30.csv,questions_data30
2022-09-09,1,False,107,Harris,L,Liam,Male,Web Developer,IT,2022-09-09,,70000,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data30.csv,output_data30.csv,questions_data30
2021-08-08,1,False,59,Wright,P,Paula,Female,Executive Assistant,HR,2021-08-08,,60000,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data30.csv,output_data30.csv,questions_data30
2019-10-30,1,False,18,Moore,A,Aiden,Male,Network Engineer,IT,2019-10-30,,80000,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data30.csv,output_data30.csv,questions_data30
2023-06-01,1,False,110,Diaz,O,Oliver,Male,HR Analyst,HR,2023-06-01,,55000,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data30.csv,output_data30.csv,questions_data30
2020-04-25,1,False,10,Martinez,S,Sophia,Female,Administrative Assistant,HR,2020-04-25,,45000,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data30.csv,output_data30.csv,questions_data30
2021-10-14,1,False,30,Adams,M,Mia,Female,IT Manager,IT,2021-10-14,,95000,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data30.csv,output_data30.csv,questions_data30
2021-08-09,1,False,92,Wright,W,Whitney,Female,Sales Coordinator,Sales,2021-08-09,,60000,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data30.csv,output_data30.csv,questions_data30
2020-03-11,1,False,48,Martinez,E,Elijah,Male,Sales Engineer,Sales,2020-03-11,,85000,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data30.csv,output_data30.csv,questions_data30
2021-10-01,1,False,78,Young,I,Isla,Female,Account Manager,Finance,2021-10-01,,85000,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data30.csv,output_data30.csv,questions_data30
2023-04-18,1,False,50,Harris,G,Grace,Female,Legal Consultant,Legal,2023-04-18,,90000,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data30.csv,output_data30.csv,questions_data30
2022-03-10,1,False,61,Baker,R,Rachel,Female,Product Designer,Marketing,2022-03-10,,75000,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data30.csv,output_data30.csv,questions_data30
2020-12-01,1,False,52,Young,I,Isabella,Female,Data Analyst,Finance,2020-12-01,,65000,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data30.csv,output_data30.csv,questions_data30
2021-02-10,1,False,21,Lee,D,Daisy,Female,Legal Assistant,Legal,2021-02-10,,60000,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data30.csv,output_data30.csv,questions_data30
2021-11-09,1,False,70,Cook,A,Ava,Female,Content Strategist,Marketing,2021-11-09,,65000,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data30.csv,output_data30.csv,questions_data30
2020-02-11,1,False,98,Cook,C,Cameron,Male,Data Architect,IT,2020-02-11,,85000,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data30.csv,output_data30.csv,questions_data30
2019-05-18,1,False,96,Stevens,A,Aiden,Male,Network Analyst,IT,2019-05-18,,70000,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data30.csv,output_data30.csv,questions_data30
2021-07-19,1,False,43,Scott,Z,Zoe,Female,Product Analyst,Marketing,2021-07-19,,70000,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data30.csv,output_data30.csv,questions_data30
2022-08-22,1,False,104,Young,I,Isabella,Female,Product Owner,Marketing,2022-08-22,,90000,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data30.csv,output_data30.csv,questions_data30
2021-05-15,1,False,41,Diaz,X,Xander,Male,Program Manager,IT,2021-05-15,,95000,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data30.csv,output_data30.csv,questions_data30
2020-09-15,1,False,20,White,C,Charlie,Male,Operations Manager,Operations,2020-09-15,,75000,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data30.csv,output_data30.csv,questions_data30
2021-09-30,1,False,46,Thompson,C,Catherine,Female,Quality Assurance Analyst,IT,2021-09-30,,70000,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data30.csv,output_data30.csv,questions_data30
2018-11-11,1,False,39,Turner,V,Violet,Female,Sales Associate,Sales,2018-11-11,,45000,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data30.csv,output_data30.csv,questions_data30
2021-06-16,1,False,34,Mitchell,Q,Quinn,Female,Customer Support Manager,Sales,2021-06-16,,75000,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data30.csv,output_data30.csv,questions_data30
2023-09-14,1,False,83,Mitchell,N,Nate,Male,Web Analyst,IT,2023-09-14,,70000,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data30.csv,output_data30.csv,questions_data30
2022-10-03,1,False,54,King,K,Kaitlyn,Female,Customer Success Manager,Sales,2022-10-03,,75000,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data30.csv,output_data30.csv,questions_data30
2018-10-30,1,False,64,Carter,U,Umberto,Male,IT Technician,IT,2018-10-30,,45000,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data30.csv,output_data30.csv,questions_data30
2020-11-20,1,False,63,Wilson,T,Tina,Female,Marketing Coordinator,Marketing,2020-11-20,,60000,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data30.csv,output_data30.csv,questions_data30
2021-08-11,1,False,19,Jackson,B,Bella,Female,UX Designer,IT,2021-08-11,,70000,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data30.csv,output_data30.csv,questions_data30
2020-01-15,2,True,1,Smith,J,John,Male,Software Engineer,IT,2020-01-15,,75000,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data30.csv,output_data30.csv,questions_data30
2020-01-15,2,True,80,Bennett,K,Kai,Male,Data Engineer,IT,2020-01-15,,80000,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data30.csv,output_data30.csv,questions_data30
2020-06-18,1,False,5,Jones,N,Noah,Male,Web Developer,IT,2020-06-18,,70000,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data30.csv,output_data30.csv,questions_data30
2021-06-20,1,False,55,Scott,L,Liam,Male,Marketing Analyst,Marketing,2021-06-20,,65000,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data30.csv,output_data30.csv,questions_data30
2023-07-11,1,False,88,Hall,S,Sophia,Female,Operations Coordinator,Operations,2023-07-11,,65000,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data30.csv,output_data30.csv,questions_data30
2020-02-14,1,False,45,Martin,B,Benjamin,Male,Network Administrator,IT,2020-02-14,,75000,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data30.csv,output_data30.csv,questions_data30
2019-08-05,1,False,8,Davis,Q,Quinn,Female,Graphic Designer,Marketing,2019-08-05,,65000,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data30.csv,output_data30.csv,questions_data30
2019-01-15,1,False,105,Clark,J,Jasper,Male,Operations Director,Operations,2019-01-15,,120000,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data30.csv,output_data30.csv,questions_data30
